Row 1 | Q: 질문 내용 | A: 답변 내용...
Row 73 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 74 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 75 | Q: 2학년 선택과목 인문사회계열 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  문의하신 **2학년 선택과목(인문사회계열)**과 관련하여 안내해 드립니다.  우리 진해...
Row 76 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다.  질문하신 **기숙사 선발 기준**에 대해 안내해 드릴게요.  진해고등학교 기숙사(송학관/동백관...
Row 77 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 궁금하시군요. 친절하게 안내해 드릴게요.  진해고등학교는 ...
Row 78 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 79 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 진학 ...
Row 80 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 공식 입학 상담 챗봇입니다.  우리 진해고등학교는 82년의 역사와 전통을 자랑하는 명문고로서, 매년 우수한 대입 실적을...
Row 81 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  기숙사 입소를 희망하시는군요! 우리 학교 기숙사인 **송학관과 동백관**의 선발 기준은 ...
Row 82 | Q: 학년별 학생수 알려줘 | A: 문의하신 학년별 학생 수와 관련하여 안내해 드립니다.  진해고등학교는 **10개 학급**으로 구성되어 있으며, **보통과 정원 300명**(학년...
Row 83 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학금 혜택에 대해 궁금하시군요.  진해고등학교는 학생들의 꿈을 응원하기 위...
Row 84 | Q: 교복은 어디꺼야 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  문의하신 교복에 대해 안내해 드릴게요.  우리 진해고등학교 신입생의 경우, **경상남도...
Row 85 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 86 | Q: 등하교 시간표 알려줘 | A: 안녕하십니까! 진해고등학교 공식 입학 상담 챗봇입니다.  문의하신 **등하교 시간**에 대해 안내해 드립니다.  우리 학교의 공식적인 등교 시간...
Row 87 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 88 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교 기숙사 선발 기준에 대해 안내해 드릴게요.  기숙사(송학관/동백관) 선발은 **중학교...
Row 89 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 궁금하시군요. 친절하게 안내해 드릴게요.  진해고등학교는 ...
Row 90 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 91 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 92 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시군요!  기숙사(송학관/동백관) 선발 기준에 대해 ...
Row 93 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 94 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 학업 정진과 꿈을 응...
Row 95 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 96 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소에 관심을 가져주셔서 감사합니다.  기숙사(송학관/동백관) 선발 기...
Row 97 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2027학년도 신입생 모집 전형...
Row 98 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 99 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  진해고등학교에 관심을 가져주셔서 감사합니다.  문의하신 **기숙사 선발 기준**에 대해 ...
Row 100 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을 응원하기 위해 ...
Row 101 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 102 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 103 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 104 | Q: 남여공학인가요 | A: 진해고등학교는 **남학생만 모집하는 남고**입니다.   입학을 희망하시는 신입생 지원자나 학부모님께서는 이 점 참고 부탁드려요!   추가로 궁금...
Row 105 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  우리 학교의 기숙사(송학관/동백관) 선발 기준에 대해 안내해 드릴게요.  기숙사 선발은...
Row 106 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시군요. 질문하신 기숙사 선발 기준에 대해 안내해 드...
Row 107 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.   문의하신 **기숙사 선발 기준**에 대해 안내해 드릴게요.  진해고등학교 기숙사(송학관...
Row 108 | Q: 공립인가요 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  문의하신 학교의 성격에 대해 답변드립니다.   진해고등학교는 82년의 역사와 전통을 자...
Row 109 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 입학을 준비하시는 학생...
Row 110 | Q: 사립인가요 | A: 안녕하십니까! **진해고등학교** 입학 상담 챗봇입니다.  우리 진해고등학교는 **기숙형 자율학교(비평준화 일반고)**입니다.   82년의 역사...
Row 111 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 우수한 인재들이 학업에 전념할...
Row 112 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학금 혜택에 대해 궁금하시군요.  진해고등학교는 학생들의 꿈을 응원하기 위...
Row 113 | Q: 기숙사 안내 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 기숙사 생활에 대해 궁금하시군요.  진해고등학교는 82년의 전통을 자랑하는 명...
Row 114 | Q: 장학선발기준 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  본교의 **장학금 선발 기준** 및 관련 안내는 다음과 같습니다.  진해고등학교는 연간 ...
Row 115 | Q: 장학금 받기위한 성적기준 어떻게되나 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  학생들의 학업 정진을 돕기 위해 마련된 **장학금 제도**에 대해 문의하셨군요.  안타깝...
Row 116 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 117 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 118 | Q: 2027학년도 전형 일정 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 2027학년도 신입생이 되기를 꿈꾸는 학생과 학부모님을 진심으로 환영해요!  문의하신 **202...
Row 119 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준은 다음과...
Row 120 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2027학년도 신입생 모집 전형...
Row 121 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교의 진학 결과에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 대입 주요 ...
Row 122 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 진학 ...
